type,date,contractSymbol,strike,bid,ask,bid/strike,vol,interval / topk% / 1-(point/close),change,MA5,MA20,MA40,MA80,MA40_state(keep),MA80_state(keep),situation_type,k,d
put,2020-04-17,ZION200417P00035000,35.0,0.0,0.89,0.0,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00038000,38.0,0.59,0.79,0.016,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00040000,40.0,0.89,1.06,0.022,2.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00041000,41.0,1.05,1.43,0.026,7.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00042000,42.0,1.24,1.61,0.03,16.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00043000,43.0,1.48,1.92,0.034,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00044000,44.0,1.75,2.0,0.04,20.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-04-17,ZION200417P00045000,45.0,2.09,2.25,0.046,150.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00025000,25.0,19.6,22.5,0.784,nan,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00030000,30.0,12.0,12.5,0.4,20.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00035000,35.0,12.8,15.85,0.366,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00040000,40.0,8.9,10.0,0.223,101.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00045000,45.0,5.8,6.85,0.129,540.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00050000,50.0,2.68,4.7,0.054,15.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00052500,52.5,1.93,3.45,0.037,13.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00055000,55.0,1.15,2.92,0.021,28.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,1.6300001,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00057500,57.5,0.72,2.5,0.013,7.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00060000,60.0,0.11,2.33,0.002,5.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00070000,70.0,0.06,0.48,0.001,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2021-01-15,ZION210115C00075000,75.0,0.0,1.06,0.0,4.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00023000,23.0,0.07,0.77,0.003,10.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00025000,25.0,0.02,1.25,0.001,13.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00030000,30.0,0.02,1.21,0.001,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00035000,35.0,1.32,1.68,0.038,5.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00040000,40.0,1.38,2.85,0.034,5.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00045000,45.0,2.95,4.9,0.066,2.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00050000,50.0,9.2,13.45,0.184,2.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00052500,52.5,11.95,12.6,0.228,30.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00055000,55.0,11.8,12.15,0.215,0.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00060000,60.0,17.9,21.85,0.298,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2021-01-15,ZION210115P00070000,70.0,0.0,33.4,0.0,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2022-01-21,ZION220121C00055000,55.0,2.26,4.85,0.041,2.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2022-01-21,ZION220121C00060000,60.0,0.18,4.75,0.003,nan,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2022-01-21,ZION220121C00065000,65.0,0.14,3.1,0.002,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2022-01-21,ZION220121P00023000,23.0,0.06,2.93,0.003,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2022-01-21,ZION220121P00028000,28.0,0.33,3.9,0.012,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2022-01-21,ZION220121P00038000,38.0,3.5,7.15,0.092,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2022-01-21,ZION220121P00045000,45.0,5.5,8.15,0.122,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
